SOFT_BIAS_GAMMA,TIE_ALPHA,TIE_BETA,TIE_EPSILON,CAL_FLOOR,CAL_PENALTY_GAMMA,avg_final_sp,avg_delta_sp_per_100kcal,avg_variety_count,per_budget
2.3355555997113067,0.1264699588337581,0.19498591324347903,0.5653931379885196,389.0,3.209106582084151,47.35143647835694,-0.0004926010343564869,10.0,"[{""budget"": 500000, ""final_sp"": 47.35143647835694, ""delta_sp_per_100kcal"": -0.0004926010343564869, ""variety_count"": 10}]"
2.317476977356475,0.06205576465547391,0.027203158221752302,0.7016024233292871,305.0,3.4843088310493533,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
4.4409870529235755,0.9804391466902661,0.133766870872898,0.3734252012231044,437.0,0.11303213711313642,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
3.129544630267753,0.8713946678999259,0.10294382804122314,0.22363434813330907,350.0,2.181830964276974,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
2.2140032898591877,0.8934335602088669,0.06801617010363473,0.34457624954606825,352.0,0.8130882050542434,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
1.932343360686984,0.39817018093932177,0.1876524977394154,0.17232563168193316,259.0,0.797997378054712,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
5.971590081948003,0.8908087016430518,0.03883265892900496,0.6081620410668493,226.0,1.268112810961631,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
2.0468654731453078,0.5376819978167684,0.1858748642958847,0.8281174878918427,360.0,3.144320216831353,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
2.9037542265185836,0.7305603280541011,0.15539088849458782,0.3311665642439344,450.0,2.311776693676462,46.325047699908126,-0.0006978787900462492,10.0,"[{""budget"": 500000, ""final_sp"": 46.325047699908126, ""delta_sp_per_100kcal"": -0.0006978787900462492, ""variety_count"": 10}]"
2.9167197498912394,0.39581331546975873,0.044829961419612485,0.5511317978237799,238.0,2.53913101571681,47.67621962035779,-0.0004276444059563161,10.0,"[{""budget"": 500000, ""final_sp"": 47.67621962035779, ""delta_sp_per_100kcal"": -0.0004276444059563161, ""variety_count"": 10}]"
